index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
564,Union,2012,7641,Union County Animal Control,Cobden,62920,Animal Control,0,0,0,0,0,18,376,56,65,22,13,42,252,30,0,30,32,2,4,3,1,0,0,632,89,66,52
565,Randolph,2012,7682,Steelville Animal Control,Steeleville,62288,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Grundy,2012,7683,Gundy County Humane Society,Coal City,60416,Animal Shelter,0,0,0,0,0,0,21,19,2,0,0,0,8,7,1,0,0,0,0,0,0,0,0,29,26,3,0
567,Edwards,2012,7794,Albion Animal Pound,Albion,62806-1016,Animal Control,0,0,0,0,0,0,39,0,28,11,0,0,25,0,4,21,0,0,5,0,0,0,0,69,0,32,32
568,Knox,2012,7871,Knox County Humane Society,Galesburg,61401,Animal Shelter,0,0,0,0,0,0,716,407,214,23,0,0,378,249,26,46,0,0,15,15,0,0,0,1109,671,240,69
569,Shelby,2012,7889,City of Windsor,Windsor,61957,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
570,Macon,2012,7909,Prairieland Animal Welfare,Decator ,62521,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,4,0,0,1
571,Clark,2012,7961,Baird's Pound,Martinsville,62442,Animal Control,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0
572,Lasalle,2012,8073,Pet Project Inc.,Marseilles,61341,Animal Shelter,0,0,0,0,0,17,147,143,0,2,19,21,64,66,0,3,16,0,0,0,0,0,0,211,209,0,5
573,Bureau,2012,8180,Friends Of Strays Inc.,Princeton,61356,Animal Shelter,80,21,107,83,0,35,106,106,0,1,29,402,199,190,0,22,371,0,0,0,0,0,0,305,296,0,23
574,Christian,2012,8278,City of Assumption,Assumption,62510,Animal Control,0,0,0,0,0,0,10,0,10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,0,12,0
